,mount_point,b_id,start_time,end_time,dur,size,count,ts,te
0,/collab/usr/gapps,33169,47792678,47793653,14,25634,6,47.792678,47.793653
1,/collab/usr/gapps,87410,37510438,37545153,35813,4976768,256,37.510438,37.545153
2,/collab/usr/gapps,179173,44895298,47633999,287751,19661278,4602,44.895298,47.633999
3,/dev,49,34881672,34881736,42,64,8,34.881672,34.881736
4,/dev,23803,6241169,6355374,640,8376,184,6.241169,6.355374
5,/dev,27345,4613404,4629306,288,2424,64,4.613404,4.629306
6,/dev,30849,34883766,34883812,34,64,8,34.883766,34.883812
7,/dev,50144,4594468,4620330,306,2424,64,4.594468,4.62033
8,/dev,57076,34881842,34881884,52,64,8,34.881842,34.881884
9,/dev,70371,34880201,34880254,37,64,8,34.880201,34.880254
10,/dev,75018,34884528,34884586,62,64,8,34.884528,34.884586
11,/dev,76456,34880764,34880842,51,64,8,34.880764,34.880842
12,/dev,79301,6351577,6414216,712,8376,184,6.351577,6.414216
13,/dev,83907,4599453,4610645,291,2424,64,4.599453,4.610645
14,/dev,86480,6302302,6376899,662,8376,184,6.302302,6.376899
15,/dev,110240,6209450,6330505,687,8376,184,6.20945,6.330505
16,/dev,128513,4596435,4618102,268,2424,64,4.596435,4.618102
17,/dev,128648,6187564,6291601,647,8376,184,6.187564,6.291601
18,/dev,139436,4617096,4638976,257,2424,64,4.617096,4.638976
19,/dev,142732,34882867,34882931,39,64,8,34.882867,34.882931
20,/dev,143353,4597349,4604087,308,2424,64,4.597349,4.604087
21,/dev,145897,6343291,6401415,741,8376,184,6.343291,6.401415
22,/dev,155788,34880631,34880689,39,64,8,34.880631,34.880689
23,/dev,162893,34884231,34884270,37,64,8,34.884231,34.88427
24,/dev,172131,6309221,6374942,663,8376,184,6.309221,6.374942
25,/dev,181684,4602700,4630240,265,2424,64,4.6027,4.63024
26,/dev,185057,4614310,4629427,291,2424,64,4.61431,4.629427
27,/dev,214003,34882974,34883079,38,64,8,34.882974,34.883079
28,/dev,221620,6316137,6381898,682,8376,184,6.316137,6.381898
29,/dev,224343,6139340,6223851,633,8376,184,6.13934,6.223851
30,/dev,243264,4614842,4632235,287,2424,64,4.614842,4.632235
31,/dev,245450,4596814,4614859,261,2424,64,4.596814,4.614859
32,/dev,247666,6301600,6377627,618,8376,184,6.3016,6.377627
33,/dev,248140,6221919,6279409,709,8376,184,6.221919,6.279409
34,/dev,298238,34882188,34882239,34,64,8,34.882188,34.882239
35,/dev,300319,34884379,34884436,39,64,8,34.884379,34.884436
36,/dev,309860,4608201,4624763,301,2424,64,4.608201,4.624763
37,/dev,322613,4614662,4638599,280,2424,64,4.614662,4.638599
38,/dev,333723,4597199,4620627,298,2424,64,4.597199,4.620627
39,/dev,333858,6239179,6308155,661,8376,184,6.239179,6.308155
40,/dev,336094,4621685,4643868,269,2424,64,4.621685,4.643868
41,/dev,356325,34883772,34883827,35,64,8,34.883772,34.883827
42,/dev,357647,6248390,6329135,600,8376,184,6.24839,6.329135
43,/dev,381919,4615997,4642475,291,2424,64,4.615997,4.642475
44,/dev,382054,6341748,6401938,739,8376,184,6.341748,6.401938
45,/dev,382842,34881606,34881652,35,64,8,34.881606,34.881652
46,/dev,384620,4614251,4631359,293,2424,64,4.614251,4.631359
47,/dev,386511,34882237,34882314,34,64,8,34.882237,34.882314
48,/dev,404653,34883277,34883340,35,64,8,34.883277,34.88334
49,/dev,407503,6141325,6227901,676,8376,184,6.141325,6.227901
50,/dev,434049,6258264,6317502,786,8376,184,6.258264,6.317502
51,/g/g92,35906,26066265,26068963,592,15360,256,26.066265,26.068963
52,/g/g92,111500,21374772,21378100,38444,15360,256,21.374772,21.3781
53,/proc,1421,6020445,6096455,40,32,16,6.020445,6.096455
54,/proc,12981,48536921,48544757,383,34176,48,48.536921,48.544757
55,/proc,23705,5953447,6075173,40,32,16,5.953447,6.075173
56,/proc,32201,37856927,37970807,56760,2407366,896,37.856927,37.970807
57,/proc,39753,43918941,43979690,177,11709,18,43.918941,43.97969
58,/proc,42167,37857660,37971945,57320,2407366,896,37.85766,37.971945
59,/proc,43358,37857251,37968975,56811,2407366,896,37.857251,37.968975
60,/proc,44034,1966807,2004393,6288,391752,32,1.966807,2.004393
61,/proc,44768,48536936,48544632,395,34176,48,48.536936,48.544632
62,/proc,45701,47882696,47946817,179,11392,16,47.882696,47.946817
63,/proc,45708,44561592,44637841,22354,1185328,776,44.561592,44.637841
64,/proc,45770,37858322,37970666,56796,2407398,896,37.858322,37.970666
65,/proc,54418,7059684,7062312,412,19844,64,7.059684,7.062312
66,/proc,57116,7035540,7037935,444,19829,64,7.03554,7.037935
67,/proc,66950,44673346,44780886,22336,1185328,776,44.673346,44.780886
68,/proc,69477,1979284,2005061,6382,395160,32,1.979284,2.005061
69,/proc,71780,48536915,48544615,371,34176,48,48.536915,48.544615
70,/proc,72254,48536926,48544639,369,34200,48,48.536926,48.544639
71,/proc,85057,37857120,37970892,56992,2407366,896,37.85712,37.970892
