,node,betweenness_unweighted,betweenness_weighted,in_degree,out_degree
0,ee12564debb781ba,0.0,0.0,0,1
1,327cdf8cf67adadf,9.050099723048839e-08,0.0,1,1
2,mFitplane,0.0,0.0,18,0
3,d2e8a0080bd0e7d1,9.050099723048839e-08,0.0,1,2
4,0001148b65c463d1,0.0,0.0,0,1
5,pegasus-kickstart,0.0,0.0,5684,0
6,000ee992967d0a99,0.0,0.0,0,1
7,0020aef76b2dec2a,0.0,0.0,0,1
8,002631907671fbb3,0.0,0.0,0,1
9,002b5ec0f667049c,0.0,0.0,0,1
10,002fa4c6fe56c462,0.0,0.0,0,1
11,0032c626905fdab9,0.0,0.0,0,1
12,00356e9dbf423c11,0.0,0.0,0,1
13,004823e27dd14524,0.0,0.0,0,1
14,0060dcc8d82b307c,0.0,0.0,0,1
15,0066f2878ae52883,0.0,0.0,0,1
16,0084c1f23584ab30,0.0,0.0,0,1
17,008741f783c5cea8,0.0,0.0,0,1
18,008db0dac92f890f,0.0,0.0,0,1
19,00a8e73d43b37561,0.0,0.0,0,1
20,00a93d6e270a0798,0.0,0.0,0,1
21,00b12a2429b071a9,0.0,0.0,0,1
22,00bdf214a5f588c5,0.0,0.0,0,1
23,00f508c4f1af27bb,0.0,0.0,0,1
24,00fe035373ee2728,0.0,0.0,0,1
25,00ff2317cea66b52,0.0,0.0,0,1
26,0100b6b9006626dc,0.0,0.0,0,1
27,011c4fdd7c683f6f,0.0,0.0,0,1
28,012e08e0fba95d41,0.0,0.0,0,1
29,0159f0e9769e6fc1,0.0,0.0,0,1
30,017bc9f2cad76624,0.0,0.0,0,1
31,0187e91416471bb0,0.0,0.0,0,1
32,018c7d2885d7d2cd,0.0,0.0,0,1
33,01aa1e9e95736e32,0.0,0.0,0,1
34,01ac6180d7eb99b9,0.0,0.0,0,1
35,01ad97c63a65cc94,0.0,0.0,0,1
36,01b31885a1661f98,0.0,0.0,0,1
37,01b4d3f454263034,0.0,0.0,0,1
38,01c1d50d6aae621f,0.0,0.0,0,1
39,01faf13d6cebb579,0.0,0.0,0,1
40,01fd047f378c7dd4,0.0,0.0,0,1
41,01fd7331a4d4d86c,0.0,0.0,0,1
42,020030f586ba5f38,0.0,0.0,0,1
43,02025b00662847d6,0.0,0.0,0,1
44,0211aa5360a22dfa,0.0,0.0,0,1
45,022b482b3445cfbc,0.0,0.0,0,1
46,023806e92ddb28f7,0.0,0.0,0,1
47,0268359964234df1,0.0,0.0,0,1
48,026abd056d37b2fa,0.0,0.0,0,1
49,0289b02f4a66e588,0.0,0.0,0,1
50,029061230d028726,0.0,0.0,0,1
51,029e9f4cc4d03433,0.0,0.0,0,1
52,02a70c6400bb7f15,0.0,0.0,0,1
53,02b00b228ed384f9,0.0,0.0,0,1
54,02b832bda588d0b2,0.0,0.0,0,1
55,02b9320b0fc5135f,0.0,0.0,0,1
56,02bf629ce3eeb06e,0.0,0.0,0,1
57,02c70cb9219bc7d0,0.0,0.0,0,1
58,02d02b9de20d0638,0.0,0.0,0,1
59,02d3ebe57abd0459,0.0,0.0,0,1
60,02d81911b64ed623,0.0,0.0,0,1
61,02da69605a5b2e68,0.0,0.0,0,1
62,02e10765ffe122d4,0.0,0.0,0,1
63,02f9e8f12e9a6695,0.0,0.0,0,1
64,0301cdc5a9092e9f,0.0,0.0,0,1
65,0334015590162ca6,0.0,0.0,0,1
66,033f5afccf4cd0f4,0.0,0.0,0,1
67,0342c74378174ec0,0.0,0.0,0,1
68,03bf4a1ff058005a,0.0,0.0,0,1
69,03cbb184bfec8a88,0.0,0.0,0,1
70,03e12865f8dd9c38,0.0,0.0,0,1
71,03e3ea2ff3c7dbae,0.0,0.0,0,1
72,03f52e2da1e16227,0.0,0.0,0,1
73,043784d0fe016127,0.0,0.0,0,1
74,044100370e64d517,0.0,0.0,0,1
75,04426543741853b5,0.0,0.0,0,1
76,047237a690581ccc,0.0,0.0,0,1
77,047486784c5d9d1c,0.0,0.0,0,1
78,048fff3bf2526936,0.0,0.0,0,1
79,0499c6a8b31bb167,0.0,0.0,0,1
80,049f92cf1253b91e,0.0,0.0,0,1
81,04d0955e0b33ac05,0.0,0.0,0,1
82,04f786de9f81a588,0.0,0.0,0,1
83,05165fed526f9b0f,0.0,0.0,0,1
84,05181eb6bd8d8088,0.0,0.0,0,1
85,0528b16d00c858a8,0.0,0.0,0,1
86,0547007148ea1db6,0.0,0.0,0,1
87,054e54b4ea695410,0.0,0.0,0,1
88,055071e0af760dd4,0.0,0.0,0,1
89,055ce77701a16257,0.0,0.0,0,1
90,0570d1d4583da3ab,0.0,0.0,0,1
91,0593d3d0355cff7d,0.0,0.0,0,1
92,05b1d585829af6e5,0.0,0.0,0,1
93,05d79f0cebbe93df,0.0,0.0,0,1
94,05da870fa86cdd46,0.0,0.0,0,1
95,05daa45c551768a9,0.0,0.0,0,1
96,05e657b0ff5ccd72,0.0,0.0,0,1
97,05f1ea4bd83afb7d,0.0,0.0,0,1
98,05f6dbcf30971024,0.0,0.0,0,1
99,0602ed16bbd7921a,0.0,0.0,0,1
100,061383fdcd910995,0.0,0.0,0,1
101,06164d7b618de754,0.0,0.0,0,1
102,0624a633f6934f0d,0.0,0.0,0,1
103,062b4182929631af,0.0,0.0,0,1
104,0655b978c8d8f6e5,0.0,0.0,0,1
105,065b79f570660a38,0.0,0.0,0,1
106,066d601c3168d9c6,0.0,0.0,0,1
107,067cfc2b007e11f3,0.0,0.0,0,1
108,067dc714598f5d73,0.0,0.0,0,1
109,067e9fae3f3f4cab,0.0,0.0,0,1
110,0683475604c8bbbb,0.0,0.0,0,1
111,06a9d8b8d8290471,0.0,0.0,0,1
112,06b659beb9a6f0eb,0.0,0.0,0,1
113,06b954930aaa4b2b,0.0,0.0,0,1
114,06d6e5a5e368e629,0.0,0.0,0,1
115,070923116ce4e9ee,0.0,0.0,0,1
116,0719b1d31160d6a5,0.0,0.0,0,1
117,072b9c74cf13873d,0.0,0.0,0,1
118,07310bd1acec1c8e,0.0,0.0,0,1
119,074730d9fae2d83c,0.0,0.0,0,1
120,074d0682e135af0c,0.0,0.0,0,1
121,074ecd3dea23139a,0.0,0.0,0,1
122,0755407138a4c787,0.0,0.0,0,1
123,07a275ac7e2d6486,0.0,0.0,0,1
124,07c7eaed6d8fca59,0.0,0.0,0,1
125,07c7f51ae5df0b58,0.0,0.0,0,1
126,083bceb9ebf1deb8,0.0,0.0,0,1
127,0842ece9a4ca8425,0.0,0.0,0,1
128,085016f461682bd6,0.0,0.0,0,1
129,08845403932d0330,0.0,0.0,0,1
130,0884d8ce9c68de52,0.0,0.0,0,1
131,08a7ebe1d840cefd,0.0,0.0,0,1
132,08ba3b6adeda13f5,0.0,0.0,0,1
133,08bd5e7c0abeaa20,0.0,0.0,0,1
134,08bf392b058c60bc,0.0,0.0,0,1
135,08c1cd3278df88f0,0.0,0.0,0,1
136,08cff386117da63e,0.0,0.0,0,1
137,08d73b5704d63634,0.0,0.0,0,1
138,08f1f464154eb083,0.0,0.0,0,1
139,08f3df8099dcdea4,0.0,0.0,0,1
140,0902c7f678404ed8,0.0,0.0,0,1
141,090495580309d771,0.0,0.0,0,1
142,0916d3237ad37abd,0.0,0.0,0,1
143,0930252efaf9443c,0.0,0.0,0,1
144,09306a48589fab41,0.0,0.0,0,1
145,093470259cdfab44,0.0,0.0,0,1
146,093c2d7c1d65f288,0.0,0.0,0,1
147,0952ee7ee35d13be,0.0,0.0,0,1
148,09530e45bbaf089c,0.0,0.0,0,1
149,0959995a52324a7e,0.0,0.0,0,1
150,096b62a642d9d062,0.0,0.0,0,1
151,098c856ffbc4aa0c,0.0,0.0,0,1
152,098f6b89ab76113f,0.0,0.0,0,1
153,09c88f436be1d3a8,0.0,0.0,0,1
154,09d356fbfaa5484e,0.0,0.0,0,1
155,09e53d85a5c3246a,0.0,0.0,0,1
156,09e6e99d781d0daf,0.0,0.0,0,1
157,09ea6fa95031210a,0.0,0.0,0,1
158,0a1d20f83f01ce8d,0.0,0.0,0,1
159,0a1eb972516c0bd2,0.0,0.0,0,1
160,0a51c8e030137d58,0.0,0.0,0,1
161,0a722d53602479b8,0.0,0.0,0,1
162,0a9e463cf204d7b6,0.0,0.0,0,1
163,0ae0e4c1d0a4f20c,0.0,0.0,0,1
164,0af27cf4475c38dc,0.0,0.0,0,1
165,0afc5a67696f80d4,0.0,0.0,0,1
166,0b018aca20d730e8,0.0,0.0,0,1
167,0b115488825833b8,0.0,0.0,0,1
168,0b1592470f5de152,0.0,0.0,0,1
169,0b1fdc82f534e165,0.0,0.0,0,1
170,0b2740bb9b529a07,0.0,0.0,0,1
171,0b32fa9dab0bbe1f,0.0,0.0,0,1
172,0b454c1d0565a5c6,0.0,0.0,0,1
173,0b5597d4e45777b1,0.0,0.0,0,1
174,0b626c2292518ce6,0.0,0.0,0,1
175,0b6400a40cef2c8e,0.0,0.0,0,1
176,0b80fcd8f9ca8e36,0.0,0.0,0,1
177,0b99b64a59357654,0.0,0.0,0,1
178,0ba1ac41350158ec,0.0,0.0,0,1
179,0bafed4c5b35fa04,0.0,0.0,0,1
180,0bb309b7e18853e8,0.0,0.0,0,1
181,0bb8c6582c5701ce,0.0,0.0,0,1
182,0bbd9d5e5325e228,0.0,0.0,0,1
183,0bdee693a38b4ce4,0.0,0.0,0,1
184,0be0049502005302,0.0,0.0,0,1
185,0be251ea89d9fdeb,0.0,0.0,0,1
186,0be2c7ca8aceb4eb,0.0,0.0,0,1
187,0be35a40cd4906c5,0.0,0.0,0,1
188,0be7df147adf3308,0.0,0.0,0,1
