src,dest,wt
f_pxmass-atlas-xn-hx.fits,p_mBackground,556394004
f_pxmass-atlas-xn-hx.fits,p_mDiff,114863767
f_pxmass-atlas-xn-hx.fits,p_mFitplane,204269655
f_pxmass-atlas-xn-hx.fits,p_mProject,106532345
f_pxmass-atlas-xn-hx_area.fits,p_mBackground,556401404
f_pxmass-atlas-xn-hx_area.fits,p_mDiff,114790136
f_pxmass-atlas-xn-hx_area.fits,p_mFitplane,204266852
f_pxmass-atlas-xn-hx_area.fits,p_mProject,106532837
f_pxmass-atlas-xn-jx.fits,p_mBackground,637570617
f_pxmass-atlas-xn-jx.fits,p_mDiff,264934960
f_pxmass-atlas-xn-jx.fits,p_mDiffFit,312402704
f_pxmass-atlas-xn-jx.fits,p_mFitplane,304017332
f_pxmass-atlas-xn-jx.fits,p_mProject,260858890
f_pxmass-atlas-xn-jx_area.fits,p_mBackground,637576341
f_pxmass-atlas-xn-jx_area.fits,p_mDiff,264880269
f_pxmass-atlas-xn-jx_area.fits,p_mDiffFit,312399129
f_pxmass-atlas-xn-jx_area.fits,p_mFitplane,303962702
f_pxmass-atlas-xn-jx_area.fits,p_mProject,260860409
f_pxmass-atlas-xn-kx.fits,p_mBackground,412336200
f_pxmass-atlas-xn-kx.fits,p_mDiff,64810211
f_pxmass-atlas-xn-kx.fits,p_mDiffFit,88729844
f_pxmass-atlas-xn-kx.fits,p_mFitplane,86270376
f_pxmass-atlas-xn-kx.fits,p_mProject,59191800
f_pxmass-atlas-xn-kx_area.fits,p_mBackground,412383370
f_pxmass-atlas-xn-kx_area.fits,p_mDiff,64691762
f_pxmass-atlas-xn-kx_area.fits,p_mDiffFit,88729494
f_pxmass-atlas-xn-kx_area.fits,p_mFitplane,86270140
f_pxmass-atlas-xn-kx_area.fits,p_mProject,59192281
f_pxmass-atlas-xs-hx.fits,p_mBackground,556339445
f_pxmass-atlas-xs-hx.fits,p_mDiff,111560731
f_pxmass-atlas-xs-hx.fits,p_mDiffFit,113391515
f_pxmass-atlas-xs-hx.fits,p_mFitplane,114924094
f_pxmass-atlas-xs-hx.fits,p_mProject,25923098
f_pxmass-atlas-xs-hx_area.fits,p_mBackground,556346896
f_pxmass-atlas-xs-hx_area.fits,p_mDiff,111494576
f_pxmass-atlas-xs-hx_area.fits,p_mDiffFit,113384515
f_pxmass-atlas-xs-hx_area.fits,p_mFitplane,114922070
f_pxmass-atlas-xs-hx_area.fits,p_mProject,26007508
f_pxmass-atlas-xs-jx.fits,p_mBackground,631694187
f_pxmass-atlas-xs-jx.fits,p_mDiff,261642757
f_pxmass-atlas-xs-jx.fits,p_mDiffFit,262561852
f_pxmass-atlas-xs-jx.fits,p_mFitplane,261728632
f_pxmass-atlas-xs-jx.fits,p_mProject,24168968
f_pxmass-atlas-xs-jx_area.fits,p_mBackground,631700728
f_pxmass-atlas-xs-jx_area.fits,p_mDiff,261641880
f_pxmass-atlas-xs-jx_area.fits,p_mDiffFit,262460280
f_pxmass-atlas-xs-jx_area.fits,p_mFitplane,261730115
f_pxmass-atlas-xs-jx_area.fits,p_mProject,24170523
f_pxmass-atlas-xs-kx.fits,p_mBackground,411222899
f_pxmass-atlas-xs-kx.fits,p_mDiff,25114612
f_pxmass-atlas-xs-kx.fits,p_mDiffFit,29009433
f_pxmass-atlas-xs-kx.fits,p_mFitplane,27405666
f_pxmass-atlas-xs-kx.fits,p_mProject,20568570
f_pxmass-atlas-xs-kx_area.fits,p_mBackground,411230368
f_pxmass-atlas-xs-kx_area.fits,p_mDiff,25061601
f_pxmass-atlas-xs-kx_area.fits,p_mDiffFit,29009183
f_pxmass-atlas-xs-kx_area.fits,p_mFitplane,27328535
f_pxmass-atlas-xs-kx_area.fits,p_mProject,20604384
f_x-corrections.tbl,p_mBackground,411220060
f_x-corrections.tbl,p_mBgModel,155824682
f_x-corrections.tbl,p_mDiff,411284117
f_x-corrections.tbl,p_mDiffFit,411212946
f_x-corrections.tbl,p_mFitplane,412347569
f_x-corrections.tbl,p_mProject,415340647
f_x-diff.x.x.fits,p_mDiff,26098526
f_x-diff.x.x.fits,p_mDiffFit,29345384
f_x-diff.x.x.fits,p_mFitplane,26498831
f_x-diff.x.x.fits,p_mProject,64179886
f_x-fits.tbl,p_mBgModel,156141335
f_x-fits.tbl,p_mConcatFit,135435659
f_x-mosaic.fits,p_mAdd,446512291
f_x-mosaic.fits,p_mViewer,510357785
f_x-updated-corrected.tbl,p_mAdd,446493568
f_x-updated-corrected.tbl,p_mImgtbl,425428356
p_mAdd,f_x-mosaic.fits,446512291
p_mBgModel,f_x-corrections.tbl,155824682
p_mConcatFit,f_x-fits.tbl,135435659
p_mDiff,f_x-diff.x.x.fits,26098526
p_mDiffFit,f_x-diff.x.x.fits,29345384
p_mFitplane,f_pxmass-atlas-xs-hx.fits,194501245
p_mFitplane,f_pxmass-atlas-xs-hx_area.fits,194501730
p_mFitplane,f_pxmass-atlas-xs-jx.fits,261728632
p_mFitplane,f_pxmass-atlas-xs-jx_area.fits,261730115
p_mFitplane,f_pxmass-atlas-xs-kx.fits,51688749
p_mFitplane,f_pxmass-atlas-xs-kx_area.fits,51689122
p_mFitplane,f_x-diff.x.x.fits,28751159
