src,dest,wt
f_pxmass-atlas-xn-hx.fits,p_mBackground,132855482
f_pxmass-atlas-xn-hx.fits,p_mDiff,122781117
f_pxmass-atlas-xn-hx.fits,p_mDiffFit,116975409
f_pxmass-atlas-xn-hx.fits,p_mFitplane,123337378
f_pxmass-atlas-xn-hx.fits,p_mProject,117695896
f_pxmass-atlas-xn-hx_area.fits,p_mBackground,132715542
f_pxmass-atlas-xn-hx_area.fits,p_mDiff,129236504
f_pxmass-atlas-xn-hx_area.fits,p_mDiffFit,129222183
f_pxmass-atlas-xn-hx_area.fits,p_mFitplane,129236832
f_pxmass-atlas-xn-hx_area.fits,p_mProject,129222090
f_pxmass-atlas-xn-jx.fits,p_mBackground,237308828
f_pxmass-atlas-xn-jx.fits,p_mDiff,181339127
f_pxmass-atlas-xn-jx.fits,p_mDiffFit,180314754
f_pxmass-atlas-xn-jx.fits,p_mFitplane,180525824
f_pxmass-atlas-xn-jx.fits,p_mProject,26240338
f_pxmass-atlas-xn-jx_area.fits,p_mBackground,236444063
f_pxmass-atlas-xn-jx_area.fits,p_mDiff,181634941
f_pxmass-atlas-xn-jx_area.fits,p_mDiffFit,180315583
f_pxmass-atlas-xn-jx_area.fits,p_mFitplane,180917835
f_pxmass-atlas-xn-jx_area.fits,p_mProject,26426523
f_pxmass-atlas-xn-kx.fits,p_mBackground,27189406
f_pxmass-atlas-xn-kx.fits,p_mDiff,22040326
f_pxmass-atlas-xn-kx.fits,p_mDiffFit,33384610
f_pxmass-atlas-xn-kx.fits,p_mFitplane,27282681
f_pxmass-atlas-xn-kx.fits,p_mProject,21548804
f_pxmass-atlas-xn-kx_area.fits,p_mBackground,27421838
f_pxmass-atlas-xn-kx_area.fits,p_mDiff,22044242
f_pxmass-atlas-xn-kx_area.fits,p_mDiffFit,33382276
f_pxmass-atlas-xn-kx_area.fits,p_mFitplane,27422352
f_pxmass-atlas-xn-kx_area.fits,p_mProject,21549290
f_pxmass-atlas-xs-hx.fits,p_mBackground,79888709
f_pxmass-atlas-xs-hx.fits,p_mDiff,79156050
f_pxmass-atlas-xs-hx.fits,p_mDiffFit,71807067
f_pxmass-atlas-xs-hx.fits,p_mFitplane,72606253
f_pxmass-atlas-xs-hx.fits,p_mProject,30063686
f_pxmass-atlas-xs-hx_area.fits,p_mBackground,79891751
f_pxmass-atlas-xs-hx_area.fits,p_mDiff,79157718
f_pxmass-atlas-xs-hx_area.fits,p_mDiffFit,71813069
f_pxmass-atlas-xs-hx_area.fits,p_mFitplane,79153667
f_pxmass-atlas-xs-hx_area.fits,p_mProject,30327097
f_pxmass-atlas-xs-jx.fits,p_mAdd,234413104
f_pxmass-atlas-xs-jx.fits,p_mBackground,175777159
f_pxmass-atlas-xs-jx.fits,p_mDiff,179550038
f_pxmass-atlas-xs-jx.fits,p_mDiffFit,178698456
f_pxmass-atlas-xs-jx.fits,p_mFitplane,177693937
f_pxmass-atlas-xs-jx.fits,p_mProject,22101623
f_pxmass-atlas-xs-jx_area.fits,p_mAdd,234266231
f_pxmass-atlas-xs-jx_area.fits,p_mBackground,175777618
f_pxmass-atlas-xs-jx_area.fits,p_mDiff,179632869
f_pxmass-atlas-xs-jx_area.fits,p_mDiffFit,178698851
f_pxmass-atlas-xs-jx_area.fits,p_mFitplane,177694301
f_pxmass-atlas-xs-jx_area.fits,p_mProject,22102270
f_pxmass-atlas-xs-kx.fits,p_mBackground,20817791
f_pxmass-atlas-xs-kx.fits,p_mBgModel,32956242
f_pxmass-atlas-xs-kx.fits,p_mDiff,19998513
f_pxmass-atlas-xs-kx.fits,p_mDiffFit,19751076
f_pxmass-atlas-xs-kx.fits,p_mFitplane,19784158
f_pxmass-atlas-xs-kx.fits,p_mProject,19056007
f_pxmass-atlas-xs-kx_area.fits,p_mBackground,20819339
f_pxmass-atlas-xs-kx_area.fits,p_mBgModel,32945130
f_pxmass-atlas-xs-kx_area.fits,p_mDiff,19999929
f_pxmass-atlas-xs-kx_area.fits,p_mDiffFit,19752574
f_pxmass-atlas-xs-kx_area.fits,p_mFitplane,19786533
f_pxmass-atlas-xs-kx_area.fits,p_mProject,19231194
f_x-corrections.tbl,p_mBackground,1483639331
f_x-corrections.tbl,p_mDiff,1483689559
f_x-corrections.tbl,p_mDiffFit,1483652805
f_x-corrections.tbl,p_mFitplane,1483673120
f_x-corrections.tbl,p_mProject,1483796673
f_x-diff.x.x.fits,p_mAdd,235941056
f_x-diff.x.x.fits,p_mBackground,28175148
f_x-diff.x.x.fits,p_mBgModel,34758363
f_x-diff.x.x.fits,p_mDiff,22113139
f_x-diff.x.x.fits,p_mDiffFit,23544330
f_x-diff.x.x.fits,p_mFitplane,22125535
f_x-diff.x.x.fits,p_mProject,22168157
f_x-fits.tbl,p_mBgModel,205804881
f_x-mosaic.fits,p_mAdd,1724166613
f_x-mosaic.fits,p_mBackground,3579034640
f_x-mosaic.fits,p_mDiff,1642730799
f_x-mosaic.fits,p_mViewer,3588130463
f_x-updated-corrected.tbl,p_mAdd,1723893918
f_x-updated-corrected.tbl,p_mDiff,1642513134
p_mAdd,f_x-diff.x.x.fits,235941056
p_mAdd,f_x-mosaic.fits,1724166613
p_mBackground,f_pxmass-atlas-xn-hx.fits,179178264
p_mBackground,f_pxmass-atlas-xn-hx_area.fits,179225111
p_mBackground,f_pxmass-atlas-xn-kx.fits,27189406
p_mBackground,f_pxmass-atlas-xn-kx_area.fits,27421838
p_mBackground,f_pxmass-atlas-xs-hx.fits,79888709
p_mBackground,f_pxmass-atlas-xs-hx_area.fits,79891751
p_mBackground,f_pxmass-atlas-xs-jx.fits,175777159
p_mBackground,f_pxmass-atlas-xs-jx_area.fits,175777618
p_mBackground,f_pxmass-atlas-xs-kx.fits,20817791
p_mBackground,f_pxmass-atlas-xs-kx_area.fits,20819339
p_mBackground,f_x-diff.x.x.fits,29648424
p_mBgModel,f_x-corrections.tbl,205131316
p_mBgModel,f_x-diff.x.x.fits,34758363
p_mConcatFit,f_x-fits.tbl,133058292
p_mDiff,f_pxmass-atlas-xn-hx.fits,122781117
p_mDiff,f_pxmass-atlas-xn-hx_area.fits,129236504
p_mDiff,f_pxmass-atlas-xn-jx.fits,181339127
p_mDiff,f_pxmass-atlas-xn-jx_area.fits,181634941
p_mDiff,f_pxmass-atlas-xn-kx.fits,22040326
p_mDiff,f_pxmass-atlas-xn-kx_area.fits,22044242
p_mDiff,f_pxmass-atlas-xs-hx.fits,79156050
p_mDiff,f_pxmass-atlas-xs-hx_area.fits,79157718
p_mDiff,f_pxmass-atlas-xs-jx.fits,179550038
p_mDiff,f_pxmass-atlas-xs-jx_area.fits,179663063
p_mDiff,f_pxmass-atlas-xs-kx.fits,19998513
p_mDiff,f_pxmass-atlas-xs-kx_area.fits,19999929
p_mDiff,f_x-diff.x.x.fits,22113139
p_mDiff,f_x-mosaic.fits,1642730799
p_mDiffFit,f_pxmass-atlas-xn-hx.fits,116975409
p_mDiffFit,f_pxmass-atlas-xn-hx_area.fits,129222183
p_mDiffFit,f_pxmass-atlas-xn-jx.fits,180314754
p_mDiffFit,f_pxmass-atlas-xn-jx_area.fits,180315583
p_mDiffFit,f_pxmass-atlas-xn-kx.fits,43158889
p_mDiffFit,f_pxmass-atlas-xn-kx_area.fits,43159575
p_mDiffFit,f_pxmass-atlas-xs-hx.fits,71807067
p_mDiffFit,f_pxmass-atlas-xs-hx_area.fits,71813069
p_mDiffFit,f_pxmass-atlas-xs-jx.fits,178698456
p_mDiffFit,f_pxmass-atlas-xs-jx_area.fits,178698851
p_mDiffFit,f_pxmass-atlas-xs-kx.fits,19751076
p_mDiffFit,f_pxmass-atlas-xs-kx_area.fits,19752574
p_mDiffFit,f_x-diff.x.x.fits,23608294
p_mDiffFit,f_x-updated-corrected.tbl,1677500428
p_mFitplane,f_pxmass-atlas-xn-hx.fits,123337378
p_mFitplane,f_pxmass-atlas-xn-hx_area.fits,129236832
p_mFitplane,f_pxmass-atlas-xn-jx.fits,180525824
p_mFitplane,f_pxmass-atlas-xn-jx_area.fits,180917835
p_mFitplane,f_pxmass-atlas-xn-kx.fits,27282681
p_mFitplane,f_pxmass-atlas-xn-kx_area.fits,27422352
p_mFitplane,f_pxmass-atlas-xs-hx.fits,72606253
p_mFitplane,f_pxmass-atlas-xs-hx_area.fits,79153667
p_mFitplane,f_pxmass-atlas-xs-jx.fits,177693937
p_mFitplane,f_pxmass-atlas-xs-jx_area.fits,177694301
p_mFitplane,f_pxmass-atlas-xs-kx.fits,19784158
p_mFitplane,f_pxmass-atlas-xs-kx_area.fits,19786533
p_mFitplane,f_x-diff.x.x.fits,22125535
p_mFitplane,f_x-updated-corrected.tbl,1501122446
p_mImgtbl,f_x-updated-corrected.tbl,1619577995
p_mProject,f_pxmass-atlas-xn-hx.fits,117695896
p_mProject,f_pxmass-atlas-xn-hx_area.fits,129222090
p_mProject,f_pxmass-atlas-xn-jx.fits,26240338
p_mProject,f_pxmass-atlas-xn-jx_area.fits,26426523
p_mProject,f_pxmass-atlas-xn-kx.fits,21548804
p_mProject,f_pxmass-atlas-xn-kx_area.fits,21549290
p_mProject,f_pxmass-atlas-xs-hx.fits,30063686
p_mProject,f_pxmass-atlas-xs-hx_area.fits,30327097
p_mProject,f_pxmass-atlas-xs-jx.fits,22101623
p_mProject,f_pxmass-atlas-xs-jx_area.fits,22102270
p_mProject,f_pxmass-atlas-xs-kx.fits,19056007
p_mProject,f_pxmass-atlas-xs-kx_area.fits,19231194
p_mProject,f_x-diff.x.x.fits,29172548
